H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
174.47527,283.02298,1.77682,204.11185,1.77682,78.91113,"[45.85626, 45.85626]","[2.2633588, 2.2633588]","[1.161266, 1.161266]",-5.792852,8.7005005,14.484006,17.105604,1,38.339916,1.8317856,-0.34830123,4.1257257,-1,1,43.740017,0.30891785,2.1814914,1.0708619,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.68066,1464.0206,1.77682,368.4355,1.77682,1095.5851,"[75.6877, 75.6877]","[3.6475425, 3.6475425]","[2.2709754, 2.2709754]",-21.468029,54.359974,-21.142582,55.317654,1,27.934875,2.1193779,1.6546303,1.7125947,-1,1,43.73368,3.805549,-2.5323277,6.822049,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.0761,243.52711,1.77682,78.04032,1.77682,165.4868,"[65.0702, 65.0702]","[-1.610026, -1.610026]","[-1.0271434, -1.0271434]",16.721334,-44.288177,22.35555,-45.073997,2,19.316359,-0.08155424,-0.07834901,0.0005109989499999,-1,2,13.405845,-1.5137398,-2.2976797,0.0005109989499999,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.47766,474.47147,1.77682,78.935616,1.77682,395.53586,"[23.506598, 23.506598]","[-3.624714, -3.624714]","[-2.391255, -2.391255]",-26.157131,-35.734272,-13.014418,-40.88956,3,16.015993,-0.6932238,-1.801581,0.1056583755,-1,1,41.502914,-2.885083,1.7300898,5.202625,-1,342.03419201918734,5.594793833210288,346.5106427662397
172.92729,313.8392,1.77682,75.00632,1.77682,238.83287,"[17.499, 17.499]","[3.3978453, 3.3978453]","[0.8860768, 0.8860768]",19.833414,19.901575,29.262468,18.164278,1,26.937382,0.43204927,0.555317,4.76949,-1,1,39.69336,2.1893382,-2.7428975,0.7650751,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.92867,301.78354,1.77682,168.91397,1.77682,132.86955,"[227.07529, 227.07529]","[-0.40456438, -0.40456438]","[-2.791963, -2.791963]",-90.89684,-8.139854,-88.870445,-16.214947,2,113.49609,-0.17998509,-2.2712092,0.0005109989499999,-1,1,61.041775,-0.5193621,2.6971028,5.0164585,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.97809,629.0656,1.77682,381.91068,1.77682,247.15495,"[339.46945, 339.46945]","[1.1794081, 1.1794081]","[-1.7224569, -1.7224569]",-37.7102,-125.83574,-23.498554,-77.014175,1,177.42497,0.9053406,-1.9551828,6.1176786,-1,1,96.444016,1.5255246,-1.0583299,1.7645942,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.02573,530.9554,1.77682,230.74829,1.77682,300.20712,"[295.7044, 295.7044]","[1.1197317, 1.1197317]","[-0.6371009, -0.6371009]",118.7722,-128.1924,133.61734,-110.721825,3,35.77798,0.5969182,-0.8048638,0.1056583755,-1,2,55.153202,1.6751865,-0.3353925,0.0005109989499999,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.19125,176.34557,1.77682,97.72811,1.77682,78.617455,"[16.665695, 16.665695]","[-0.6353477, -0.6353477]","[-0.16306488, -0.16306488]",-10.480896,-2.9887671,-8.517648,7.838346,1,54.960075,-0.5485316,-0.4940642,0.4788292,-1,1,32.637093,0.5228671,2.5548496,0.6752475,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.34486,771.5258,1.77682,598.9754,1.77682,172.5504,"[19.225069, 19.225069]","[-4.3586216, -4.3586216]","[2.267478, 2.267478]",-9.42538,28.28235,-5.4561496,6.274764,1,89.142075,-3.1298513,-0.683098,12.094204,-1,1,63.51133,-1.4544165,2.2846403,1.259051,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.17767,195.25012,1.77682,126.42747,1.77682,68.82266,"[7.6450534, 7.6450534]","[3.114121, 3.114121]","[1.8466536, 1.8466536]",22.355366,-2.4733024,18.71514,5.050869,1,45.206722,1.2992274,-2.8475668,8.684118,-1,2,29.140884,-0.3661832,0.50050235,0.0005109989499999,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.45241,455.4305,1.77682,158.28708,1.77682,297.14343,"[99.749695, 99.749695]","[-2.1180277, -2.1180277]","[-2.7955596, -2.7955596]",-85.815056,-30.313766,-70.053085,-16.14371,1,45.06819,-1.7551596,-0.4019302,4.1334205,-1,2,53.729664,-1.3587096,-3.0496826,0.0005109989499999,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.82265,342.02585,1.77682,114.64868,1.77682,227.37718,"[3.080516, 3.080516]","[-5.2494693, -5.2494693]","[1.0922642, 1.0922642]",7.1368694,-4.7880654,9.899344,6.622939,1,53.81027,-0.89831495,-2.6475189,2.4659212,-1,3,48.22965,-1.6518629,0.5091163,0.1056583755,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.35385,778.57404,1.77682,487.2197,1.77682,291.35437,"[268.39703, 268.39703]","[-1.699562, -1.699562]","[0.26106015, 0.26106015]",72.00916,41.53674,64.720566,48.10724,1,92.46063,-1.7013631,0.7515444,2.9227211,-1,1,130.70468,-1.3324327,-0.33343536,0.90405095,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.06168,1515.9674,1.77682,1183.9813,1.77682,331.9861,"[11.342128, 11.342128]","[5.5817056, 5.5817056]","[1.9186914, 1.9186914]",-8.267007,-4.1390867,2.9371395,-12.415281,1,66.23581,3.4791918,-1.216151,5.3020673,-1,1,71.58611,2.1805387,1.8475006,1.895566,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.22694,267.59296,1.77682,188.96278,1.77682,78.63017,"[18.858969, 18.858969]","[-3.0634387, -3.0634387]","[-0.6145035, -0.6145035]",-6.2338443,17.891102,5.844611,11.203292,1,30.285454,-1.775486,1.6156846,0.3830845,-1,1,51.28662,-0.31477943,-1.3433679,3.61706,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.40596,266.31445,1.77682,88.77488,1.77682,177.53958,"[93.68255, 93.68255]","[1.3937466, 1.3937466]","[1.118632, 1.118632]",12.454552,0.4747967,13.209628,7.464571,1,76.37063,0.10559874,0.4482525,0.90260106,-1,1,54.597145,1.760677,2.272196,0.5167993,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.95563,200.97433,1.77682,57.300224,1.77682,143.6741,"[17.715567, 17.715567]","[2.404693, 2.404693]","[2.183621, 2.183621]",5.72657,-9.204174,-3.4636943,9.714874,1,32.846203,-0.61165625,-1.7113992,5.5421233,-1,1,40.322792,1.5237991,1.6368796,0.7064723,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.74332,1395.9554,1.77682,1220.0488,1.77682,175.90659,"[187.7726, 187.7726]","[2.6866336, 2.6866336]","[-2.1688056, -2.1688056]",-15.678794,-1.2267256,-22.815977,-7.282259,1,171.91205,2.5808513,-1.8696989,4.1026726,-1,1,41.42786,1.732135,2.8236804,1.271931,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.9977,203.47948,1.77682,123.136635,1.77682,80.342834,"[40.0482, 40.0482]","[-1.6063118, -1.6063118]","[-1.9489008, -1.9489008]",-2.8958344,-17.187601,2.711635,-20.076584,1,51.99403,-1.3672533,2.4860578,2.023072,-1,1,51.860065,0.14934713,-1.1632986,1.2051485,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.84314,202.09604,1.77682,125.975525,1.77682,76.12052,"[43.12983, 43.12983]","[-1.4988586, -1.4988586]","[-2.8231318, -2.8231318]",-0.019529236,-8.3305235,-13.571294,-1.763939,1,33.916782,-1.761964,-0.780791,2.9658873,-1,2,49.779728,0.3604312,2.8882444,0.0005109989499999,-1,342.03419201918734,5.594793833210288,346.5106427662397
173.57188,272.95758,1.77682,64.029106,1.77682,208.92847,"[36.450848, 36.450848]","[2.439869, 2.439869]","[1.9849973, 1.9849973]",-51.26871,-21.564083,-32.530327,-16.098188,2,17.121002,0.24112375,-2.5719244,0.0005109989499999,-1,1,87.14361,1.617662,1.0718741,5.7755823,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.34627,1389.1945,1.77682,814.5286,1.77682,574.66583,"[115.42461, 115.42461]","[3.1712203, 3.1712203]","[-2.2701442, -2.2701442]",-5.52101,-11.008145,-35.46525,-17.556292,1,69.45456,2.7599666,3.073266,1.9896525,-1,1,75.50011,2.3769987,-1.333592,1.0468979,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.5017,671.2002,1.77682,213.63306,1.77682,457.56714,"[12.399349, 12.399349]","[-4.64907, -4.64907]","[2.3780897, 2.3780897]",-43.748875,29.264704,-28.424133,16.388382,1,74.23919,-1.6953573,-0.4736781,3.0688057,-1,3,39.597275,-2.2988124,2.6347268,0.1056583755,-1,342.03419201918734,5.594793833210288,346.5106427662397
176.2482,1129.633,1.77682,356.23087,1.77682,773.4022,"[13.825508, 13.825508]","[5.0839195, 5.0839195]","[2.7666078, 2.7666078]",-43.279606,-33.341747,-32.56898,-27.381659,1,75.81374,2.190179,0.91986233,3.55295,-1,1,29.557049,2.8827918,-2.3680162,3.3735833,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.18591,207.0015,1.77682,84.82413,1.77682,122.17737,"[66.9498, 66.9498]","[-1.0837686, -1.0837686]","[1.2014569, 1.2014569]",38.043015,56.774418,38.41886,67.98985,1,51.31427,-1.0066136,-2.273436,0.5209358,-1,1,46.2423,-0.18534645,1.0404617,8.0083275,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.85037,318.55002,1.77682,120.88231,1.77682,197.6677,"[211.4082, 211.4082]","[0.7057111, 0.7057111]","[-0.5965657, -0.5965657]",37.3465,-20.779423,50.79924,-27.269,1,33.395794,2.0063584,-1.4687487,2.403886,-1,1,147.83342,0.22905755,-0.46078408,12.0943575,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.0366,936.2539,1.77682,294.0026,1.77682,642.2513,"[23.880156, 23.880156]","[4.344029, 4.344029]","[-3.0833466, -3.0833466]",0.0020488165,44.10998,-3.0908866,39.08172,1,80.41458,1.944726,-1.7787484,2.557474,-1,1,46.59757,2.7605126,1.6610382,3.0383456,-1,342.03419201918734,5.594793833210288,346.5106427662397
176.0727,293.79944,1.77682,107.30868,1.77682,186.49075,"[14.919666, 14.919666]","[-3.4498727, -3.4498727]","[1.4558872, 1.4558872]",-6.0799427,-13.2384205,0.70530397,0.30160677,1,76.10741,-0.76703525,-3.0431583,0.14488286,-1,1,94.18885,-1.4123336,0.28372848,4.7801876,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.13138,306.88968,1.77682,156.94536,1.77682,149.94432,"[129.91145, 129.91145]","[1.2815295, 1.2815295]","[1.5261735, 1.5261735]",-9.065613,19.786243,-3.935148,28.787601,1,123.908165,0.52907145,1.1195085,2.83498,-1,1,43.766384,1.6799407,3.0380468,2.0728586,-1,342.03419201918734,5.594793833210288,346.5106427662397
173.77296,415.81158,1.77682,179.58049,1.77682,236.2311,"[13.272169, 13.272169]","[4.0414267, 4.0414267]","[-1.9642624, -1.9642624]",-2.5797467,43.71357,8.330651,34.475574,1,34.537613,1.460802,1.4530317,3.9017231,-1,1,82.97763,1.5947961,-1.7064791,9.452004,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.16774,617.30975,1.77682,176.38803,1.77682,440.92175,"[54.26819, 54.26819]","[3.0804987, 3.0804987]","[1.2966337, 1.2966337]",13.475855,52.03081,7.5701447,43.220173,1,43.587597,1.2758925,1.40351,0.9536919,-1,1,26.09434,3.1152966,-1.6355767,1.5429708,-1,342.03419201918734,5.594793833210288,346.5106427662397
